date,symbol,open,high,low,close,volumefrom,volumeto
2020-06-18,BNB,16.36,16.37,16.07,16.13,811526.34,13089100.22
2020-06-19,BNB,16.13,22.02,15.91,15.96,776547.8,12396776.46
2020-06-20,BNB,15.96,16.09,15.85,16.07,725061.21,11653659.26
2020-06-21,BNB,16.07,16.17,15.84,15.93,598282.76,9533294.88
2020-06-22,BNB,15.93,17.13,16.23,16.49,718364.38,11842960.92
2020-06-23,BNB,16.51,16.44,16.3,16.39,682139.82,11180396.41
2020-06-24,BNB,16.39,16.21,15.79,15.99,873778.38,13974468.47
2020-06-25,BNB,15.99,16.02,15.86,15.9,665242.24,10580219.95
2020-06-26,BNB,15.9,15.84,15.62,15.76,547186.96,8624234.73
2020-06-27,BNB,15.76,15.56,15.06,15.12,917967.26,13882407.91
2020-06-28,BNB,15.12,15.43,15.12,15.39,1294630.96,19919318.73
2020-06-29,BNB,15.39,15.67,15.41,15.48,1171921.58,18141595.62
2020-06-30,BNB,15.48,15.46,15.32,15.4,1278246.28,19690218.72
2020-07-01,BNB,15.4,15.93,15.52,15.83,1114770.27,17642597.95
2020-07-02,BNB,15.83,15.71,15.28,15.37,1071885.51,16471484.56
2020-07-03,BNB,15.37,15.39,15.26,15.29,1019542.48,15584778.92
2020-07-04,BNB,15.29,15.57,15.38,15.57,1134100.18,17656994.64
2020-07-05,BNB,15.57,15.51,15.37,15.5,1038243.75,16094873.38
2020-07-06,BNB,15.5,16.35,15.81,16.31,1178283.66,19218516.12
2020-07-07,BNB,16.31,16.83,16.05,16.79,1718653.19,28860962.3
2020-07-08,BNB,16.79,17.6,16.98,17.26,1541774.07,26617645.14
2020-07-09,BNB,17.26,17.18,16.52,16.83,1276259.25,21483740.21
2020-07-10,BNB,16.83,17.42,16.71,17.3,1095544.03,18957957.7
2020-07-11,BNB,17.28,17.66,17.09,17.62,250462.07,4413332.65
2020-07-12,BNB,17.63,18.68,17.73,18.31,1270696.76,23270994.76
2020-07-13,BNB,18.31,18.83,17.65,18.4,1656588.17,30484331.55
2020-07-14,BNB,18.4,18.8,17.94,18.1,1272923.73,23046122.37
2020-07-15,BNB,18.1,18.01,17.4,17.6,1034794.58,18208062.35
2020-07-16,BNB,17.6,17.58,16.66,17.15,966155.12,16571691.59
2020-07-17,BNB,17.15,17.56,17.01,17.08,855831.41,14615386.75
2020-07-18,BNB,17.08,17.3,16.92,17.16,829914.03,14242487.8
2020-07-19,BNB,17.15,18.42,17.2,18.01,242985.32,4376959.2
2020-07-20,BNB,18.02,18.27,17.28,17.48,1255209.49,21936730.08
2020-07-21,BNB,17.48,18.16,17.59,17.73,1012506.67,17955452.11
2020-07-22,BNB,17.73,18.19,17.79,18.12,919998.8,16671073.78
2020-07-23,BNB,18.12,18.78,18.24,18.78,1216153.69,22837548.31
2020-07-24,BNB,18.78,19.48,18.34,19.2,1479733.09,28404900.61
2020-07-25,BNB,19.2,20.19,19.48,19.82,1594963.57,31619472.08
2020-07-26,BNB,19.82,20.64,19.34,19.58,1432360.52,28039628.41
2020-07-27,BNB,19.58,21.9,19.06,19.78,1944877.65,38465606.45
2020-07-28,BNB,19.78,20.55,19.33,20.19,1461855.48,29520316.65
2020-07-29,BNB,20.19,20.72,19.63,19.9,1087850.86,21650041.91
